voltage,electronDensity,centralField,throatField,fieldRatio,rotationPower,viscousTorquePower,parallelLossPower,chargeExchangePower,totalHeatLoss,classicalIonHeatLoss,parallelIonHeatLoss,chargeExchangeHeatLoss,parallelElectronHeatLoss,radiationLoss,MachAlfven,Q_scientific,Q_scientific_equiv,ionTemperature,electronTemperature,temperatureRatio,rho_i,a,L,rmin,exhaustRadius,tau_E,Mach,rho_star,nu_star,tripleProduct,thermalPower
71.5,8.1e+19,0.34,3.0,8.823529411764705,1.55,0.271,0.0313,1.24,0.271,0.0728,0.0515,0.0482,0.0923,0.00069,1.6,,,0.7,0.7,1.0,0.00794,0.08,0.6,0.05,0.0438,0.00787,5.08,0.09924999999999999,0.00817,4.46e+17,
140.0,8.1e+19,0.34,3.0,8.823529411764705,1.28,0.533,0.0616,0.685,0.533,0.186,0.0984,0.0346,0.197,0.0015400000000000001,3.13,,,3.5,3.5,1.0,0.0177,0.08,0.6,0.05,0.0438,0.0201,4.45,0.22125,0.000374,5.69e+18,
178.0,1.6e+19,0.34,3.0,8.823529411764705,0.0451,0.0273,0.0030600000000000002,0.0147,0.0273,0.0106,0.00484,0.000826,0.010199999999999999,8.08e-05,1.77,,,6.3,6.3,1.0,0.0238,0.08,0.6,0.05,0.0438,0.139,4.22,0.29750000000000004,2.48e-05,1.4e+19,
208.0,1.6e+19,0.34,3.0,8.823529411764705,0.0443,0.0316,0.0033900000000000002,0.00928,0.0316,0.013099999999999999,0.00532,0.000556,0.0115,9.72e-05,2.06,,,9.1,9.1,1.0,0.0286,0.08,0.6,0.05,0.0438,0.174,4.09,0.3575,1.22e-05,2.53e+19,
143.0,6.1e+19,0.34,3.0,8.823529411764705,0.718,0.311,0.0359,0.371,0.311,0.11,0.0574,0.0189,0.116,0.0009,2.78,,,3.7,3.7,1.0,0.0182,0.08,0.6,0.05,0.0438,0.0273,4.43,0.2275,0.000255,6.17e+18,
161.0,6.1e+19,0.34,3.0,8.823529411764705,0.664,0.348,0.039700000000000006,0.277,0.348,0.129,0.0631,0.0148,0.13,0.0010400000000000001,3.11,,,4.9,4.9,1.0,0.021,0.08,0.6,0.05,0.0438,0.0324,4.32,0.2625,0.000148,9.67e+18,
202.0,1.1e+19,0.34,3.0,8.823529411764705,0.0211,0.0147,0.00159,0.00484,0.0147,0.0059900000000000005,0.0025,0.000286,0.00537,4.44e-05,1.66,,,8.5,8.5,1.0,0.0277,0.08,0.6,0.05,0.0438,0.24,4.11,0.34625,9.65e-06,2.25e+19,
93.1,1.6e+19,0.34,3.0,8.823529411764705,0.068,0.0145,0.00165,0.0518,0.0145,0.0042699999999999995,0.00268,0.0022,0.005,3.6700000000000004e-05,0.923,,,1.3,1.3,1.0,0.0108,0.08,0.6,0.05,0.0438,0.053899999999999997,4.85,0.135,0.000516,1.12e+18,
176.0,6.1e+19,0.34,3.0,8.823529411764705,0.638,0.38,0.0426,0.215,0.38,0.146,0.0674,0.012,0.141,0.00116,3.41,,,6.1,6.1,1.0,0.0234,0.08,0.6,0.05,0.0438,0.036899999999999995,4.23,0.2925,9.74e-05,1.37e+19,
183.0,3.6e+19,0.34,3.0,8.823529411764705,0.222,0.139,0.0155,0.0679,0.139,0.0545,0.024399999999999998,0.00385,0.0515,0.000422,2.72,,,6.7,6.7,1.0,0.0246,0.08,0.6,0.05,0.0438,0.0654,4.2,0.3075,4.86e-05,1.58e+19,
211.0,3.6e+19,0.34,3.0,8.823529411764705,0.22,0.16,0.017,0.0436,0.159,0.0665,0.026699999999999998,0.00263,0.0579,0.000502,3.14,,,9.5,9.5,1.0,0.0292,0.08,0.6,0.05,0.0438,0.0808,4.07,0.365,2.48e-05,2.76e+19,
143.0,3.6e+19,0.34,3.0,8.823529411764705,0.254,0.11,0.0127,0.131,0.11,0.038799999999999994,0.020300000000000002,0.006679999999999999,0.040799999999999996,0.000313,2.13,,,3.7,3.7,1.0,0.0182,0.08,0.6,0.05,0.0438,0.045700000000000005,4.43,0.2275,0.000152,6.08e+18,
198.0,3.1e+19,0.34,3.0,8.823529411764705,0.164,0.112,0.0121,0.0399,0.112,0.045200000000000004,0.019100000000000002,0.00234,0.041,0.000344,2.73,,,8.1,8.1,1.0,0.027,0.08,0.6,0.05,0.0438,0.0849,4.13,0.33749999999999997,2.91e-05,2.13e+19,
166.0,4.1e+19,0.34,3.0,8.823529411764705,0.298,0.164,0.018600000000000002,0.116,0.164,0.0616,0.0295,0.0062900000000000005,0.0611,0.000487,2.64,,,5.3,5.3,1.0,0.0218,0.08,0.6,0.05,0.0438,0.05,4.29,0.2725,8.66e-05,1.09e+19,
181.0,4.1e+19,0.34,3.0,8.823529411764705,0.289,0.178,0.0198,0.0911,0.178,0.0692,0.0313,0.00514,0.0659,0.000539,2.87,,,6.5,6.5,1.0,0.0242,0.08,0.6,0.05,0.0438,0.0565,4.21,0.3025,5.85e-05,1.51e+19,
79.7,3.6e+19,0.34,3.0,8.823529411764705,0.332,0.061399999999999996,0.00698,0.263,0.061399999999999996,0.0171,0.0114,0.0106,0.0208,0.000155,1.19,,,0.9,0.9,1.0,0.009,0.08,0.6,0.05,0.0438,0.019899999999999998,4.99,0.11249999999999999,0.0023,6.44e+17,
150.0,1.01e+20,0.34,3.0,8.823529411764705,1.88,0.877,0.101,0.904,0.877,0.315,0.161,0.047,0.327,0.0026,3.72,,,4.1,4.1,1.0,0.0192,0.08,0.6,0.05,0.0438,0.0178,4.39,0.23999999999999996,0.000342,7.37e+18,
185.0,1.01e+20,0.34,3.0,8.823529411764705,1.7,1.08,0.12,0.503,1.08,0.425,0.189,0.0287,0.399,0.00337,4.61,,,6.9,6.9,1.0,0.0249,0.08,0.6,0.05,0.0438,0.024300000000000002,4.19,0.31124999999999997,0.000126,1.7e+19,
200.0,5.6e+19,0.34,3.0,8.823529411764705,0.526,0.362,0.039299999999999995,0.124,0.362,0.147,0.0619,0.00733,0.133,0.00114,3.71,,,8.3,8.3,1.0,0.0273,0.08,0.6,0.05,0.0438,0.0484,4.12,0.34125,4.95e-05,2.25e+19,
104.0,1.01e+20,0.34,3.0,8.823529411764705,2.47,0.615,0.0702,1.78,0.615,0.189,0.114,0.0793,0.216,0.0016699999999999998,2.59,,,1.7,1.7,1.0,0.0124,0.08,0.6,0.05,0.0438,0.0105,4.74,0.155,0.00185,1.81e+18,
187.0,5.6e+19,0.34,3.0,8.823529411764705,0.53,0.34,0.0376,0.151,0.34,0.135,0.0594,0.00868,0.126,0.0010500000000000002,3.48,,,7.1,7.1,1.0,0.0253,0.08,0.6,0.05,0.0438,0.044,4.18,0.31625,6.69e-05,1.75e+19,
104.0,2.1e+19,0.34,3.0,8.823529411764705,0.111,0.027800000000000002,0.00317,0.0805,0.027800000000000002,0.008539999999999999,0.00514,0.0035800000000000003,0.00975,7.23e-05,1.18,,,1.7,1.7,1.0,0.0124,0.08,0.6,0.05,0.0438,0.0485,4.74,0.155,0.000402,1.73e+18,
185.0,2.1e+19,0.34,3.0,8.823529411764705,0.0765,0.0485,0.00538,0.022600000000000002,0.0485,0.019100000000000002,0.008490000000000001,0.0012900000000000001,0.018,0.000146,2.1,,,6.9,6.9,1.0,0.0249,0.08,0.6,0.05,0.0438,0.113,4.19,0.31124999999999997,2.71e-05,1.63e+19,
61.8,5.6e+19,0.34,3.0,8.823529411764705,0.658,0.112,0.0134,0.532,0.112,0.0289,0.0222,0.0197,0.039,0.000279,1.15,,,0.5,0.5,1.0,0.00671,0.08,0.6,0.05,0.0438,0.009380000000000001,5.19,0.08387499999999999,0.0109,2.63e+17,
209.0,5.1e+19,0.34,3.0,8.823529411764705,0.438,0.315,0.033600000000000005,0.0892,0.315,0.131,0.052899999999999996,0.00536,0.114,0.000997,3.71,,,9.3,9.3,1.0,0.0289,0.08,0.6,0.05,0.0438,0.056799999999999996,4.08,0.36124999999999996,3.63e-05,2.69e+19,
150.0,2.1e+19,0.34,3.0,8.823529411764705,0.0848,0.0395,0.00455,0.0407,0.0395,0.014199999999999999,0.00724,0.00212,0.0147,0.000112,1.7,,,4.1,4.1,1.0,0.0192,0.08,0.6,0.05,0.0438,0.08220000000000001,4.39,0.23999999999999996,7.4e-05,7.07e+18,
169.0,9.6e+19,0.34,3.0,8.823529411764705,1.59,0.892,0.101,0.595,0.892,0.338,0.16,0.032600000000000004,0.332,0.00272,4.1,,,5.5,5.5,1.0,0.0222,0.08,0.6,0.05,0.0438,0.0223,4.27,0.2775,0.000185,1.18e+19,
126.0,9.6e+19,0.34,3.0,8.823529411764705,1.95,0.671,0.07759999999999999,1.2,0.671,0.224,0.125,0.0579,0.245,0.0019,3.06,,,2.7,2.7,1.0,0.0156,0.08,0.6,0.05,0.0438,0.0145,4.55,0.19499999999999998,0.000726,3.77e+18,
204.0,7.6e+19,0.34,3.0,8.823529411764705,0.961,0.675,0.0727,0.214,0.674,0.277,0.114,0.0127,0.246,0.00214,4.4,,,8.7,8.7,1.0,0.028,0.08,0.6,0.05,0.0438,0.037,4.1,0.35,6.09e-05,2.45e+19,
192.0,7.6e+19,0.34,3.0,8.823529411764705,0.964,0.636,0.0699,0.259,0.636,0.254,0.11,0.015,0.235,0.00199,4.14,,,7.5,7.5,1.0,0.026,0.08,0.6,0.05,0.0438,0.0338,4.16,0.32499999999999996,8.11e-05,1.93e+19,
153.0,6e+18,0.34,3.0,8.823529411764705,0.00704,0.0033900000000000002,0.000389,0.00326,0.0033900000000000002,0.00123,0.000619,0.000171,0.00126,9.4e-06,0.926,,,4.3,4.3,1.0,0.0197,0.08,0.6,0.05,0.0438,0.287,4.37,0.24624999999999997,1.99e-05,7.4e+18,
133.0,6e+18,0.34,3.0,8.823529411764705,0.007809999999999999,0.00298,0.000345,0.00449,0.00298,0.00102,0.000552,0.000222,0.0011,7.97e-06,0.81,,,3.1,3.1,1.0,0.0167,0.08,0.6,0.05,0.0438,0.235,4.5,0.20875,3.74e-05,4.38e+18,
171.0,7.6e+19,0.34,3.0,8.823529411764705,0.995,0.57,0.0644,0.36,0.57,0.217,0.102,0.0198,0.212,0.00173,3.7,,,5.7,5.7,1.0,0.0226,0.08,0.6,0.05,0.0438,0.0286,4.26,0.2825,0.000137,1.24e+19,
194.0,9.6e+19,0.34,3.0,8.823529411764705,1.53,1.02,0.112,0.397,1.02,0.41,0.176,0.023100000000000002,0.375,0.00322,4.7,,,7.7,7.7,1.0,0.0263,0.08,0.6,0.05,0.0438,0.0273,4.15,0.32875,9.68e-05,2.02e+19,
217.0,7.1e+19,0.34,3.0,8.823529411764705,0.846,0.625,0.06609999999999999,0.154,0.625,0.264,0.104,0.0094,0.226,0.0020099999999999996,4.52,,,10.1,10.1,1.0,0.0301,0.08,0.6,0.05,0.0438,0.0432,4.05,0.37625,4.27e-05,3.1e+19,
109.0,6e+18,0.34,3.0,8.823529411764705,0.00915,0.0024500000000000004,0.000281,0.00642,0.0024500000000000004,0.000768,0.000454,0.000291,0.00087,6.24e-06,0.662,,,1.9,1.9,1.0,0.0131,0.08,0.6,0.05,0.0438,0.175,4.7,0.16375,9.58e-05,2e+18,
206.0,7.1e+19,0.34,3.0,8.823529411764705,0.841,0.595,0.0639,0.182,0.594,0.245,0.101,0.0108,0.217,0.00189,4.3,,,8.9,8.9,1.0,0.0283,0.08,0.6,0.05,0.0438,0.040100000000000004,4.09,0.35374999999999995,5.45e-05,2.53e+19,
208.0,7.1e+19,0.34,3.0,8.823529411764705,0.841,0.6,0.0643,0.176,0.6,0.248,0.101,0.0106,0.218,0.00191,4.33,,,9.1,9.1,1.0,0.0286,0.08,0.6,0.05,0.0438,0.040600000000000004,4.09,0.3575,5.22e-05,2.62e+19,
104.0,6e+18,0.34,3.0,8.823529411764705,0.00941,0.00234,0.000268,0.0068,0.00234,0.00072,0.000433,0.000302,0.000823,5.9e-06,0.632,,,1.7,1.7,1.0,0.0124,0.08,0.6,0.05,0.0438,0.164,4.74,0.155,0.000119,1.67e+18,
49.4,7.6e+19,0.34,3.0,8.823529411764705,0.932,0.161,0.0205,0.75,0.161,0.0389,0.0341,0.0261,0.0585,0.000398,1.07,,,0.3,0.3,1.0,0.0052,0.08,0.6,0.05,0.0438,0.00533,5.36,0.065,0.0387,1.21e+17,
196.0,9.6e+19,0.34,3.0,8.823529411764705,1.53,1.03,0.112,0.384,1.03,0.416,0.177,0.0224,0.379,0.00326,4.75,,,7.9,7.9,1.0,0.0267,0.08,0.6,0.05,0.0438,0.027800000000000002,4.14,0.33375,9.21e-05,2.11e+19,
174.0,7.6e+19,0.34,3.0,8.823529411764705,0.989,0.578,0.06509999999999999,0.346,0.578,0.222,0.103,0.0192,0.215,0.00176,3.75,,,5.9,5.9,1.0,0.023,0.08,0.6,0.05,0.0438,0.0292,4.25,0.2875,0.000129,1.31e+19,
130.0,6e+18,0.34,3.0,8.823529411764705,0.00799,0.0029,0.000336,0.0047599999999999995,0.0029,0.000979,0.000538,0.000232,0.00106,7.71e-06,0.788,,,2.9,2.9,1.0,0.0162,0.08,0.6,0.05,0.0438,0.226,4.53,0.20249999999999999,4.25e-05,3.93e+18,
150.0,6e+18,0.34,3.0,8.823529411764705,0.00714,0.00333,0.000383,0.0034300000000000003,0.00333,0.0011899999999999999,0.00061,0.000178,0.00124,9.17e-06,0.908,,,4.1,4.1,1.0,0.0192,0.08,0.6,0.05,0.0438,0.279,4.39,0.23999999999999996,2.18e-05,6.86e+18,
190.0,7.6e+19,0.34,3.0,8.823529411764705,0.966,0.629,0.0693,0.267,0.629,0.25,0.109,0.0154,0.232,0.00196,4.1,,,7.3,7.3,1.0,0.0256,0.08,0.6,0.05,0.0438,0.0332,4.17,0.32,8.54e-05,1.84e+19,
202.0,7.6e+19,0.34,3.0,8.823529411764705,0.961,0.668,0.0723,0.221,0.668,0.273,0.114,0.013099999999999999,0.245,0.00212,4.36,,,8.5,8.5,1.0,0.0277,0.08,0.6,0.05,0.0438,0.0364,4.11,0.34625,6.37e-05,2.35e+19,
122.0,9.6e+19,0.34,3.0,8.823529411764705,2.0,0.651,0.0752,1.27,0.651,0.214,0.121,0.0606,0.236,0.00183,2.96,,,2.5,2.5,1.0,0.015,0.08,0.6,0.05,0.0438,0.013900000000000001,4.58,0.1875,0.000842,3.33e+18,
166.0,9.6e+19,0.34,3.0,8.823529411764705,1.6,0.879,0.0997,0.62,0.879,0.331,0.158,0.0338,0.328,0.00267,4.04,,,5.3,5.3,1.0,0.0218,0.08,0.6,0.05,0.0438,0.0218,4.29,0.2725,0.000199,1.11e+19,
211.0,5.1e+19,0.34,3.0,8.823529411764705,0.438,0.318,0.0338,0.0868,0.317,0.132,0.0531,0.00524,0.115,0.00101,3.74,,,9.5,9.5,1.0,0.0292,0.08,0.6,0.05,0.0438,0.0575,4.07,0.365,3.48e-05,2.79e+19,
153.0,2.1e+19,0.34,3.0,8.823529411764705,0.0836,0.0402,0.00462,0.038799999999999994,0.0402,0.0146,0.00736,0.0020299999999999997,0.015,0.000115,1.73,,,4.3,4.3,1.0,0.0197,0.08,0.6,0.05,0.0438,0.0846,4.37,0.24624999999999997,6.75e-05,7.64e+18,
187.0,2.1e+19,0.34,3.0,8.823529411764705,0.07629999999999999,0.049100000000000005,0.00542,0.0218,0.049100000000000005,0.019399999999999997,0.00855,0.00125,0.0181,0.000148,2.13,,,7.1,7.1,1.0,0.0253,0.08,0.6,0.05,0.0438,0.115,4.18,0.31625,2.57e-05,1.71e+19,
71.5,5.6e+19,0.34,3.0,8.823529411764705,0.747,0.131,0.015099999999999999,0.601,0.131,0.0352,0.0249,0.0233,0.0446,0.00033,1.33,,,0.7,0.7,1.0,0.00794,0.08,0.6,0.05,0.0438,0.011300000000000001,5.08,0.09924999999999999,0.00571,4.41e+17,
109.0,2.1e+19,0.34,3.0,8.823529411764705,0.108,0.029,0.00333,0.076,0.0291,0.0091,0.00538,0.0034500000000000004,0.0103,7.64e-05,1.24,,,1.9,1.9,1.0,0.0131,0.08,0.6,0.05,0.0438,0.0518,4.7,0.16375,0.000325,2.07e+18,
185.0,5.6e+19,0.34,3.0,8.823529411764705,0.531,0.337,0.0373,0.157,0.337,0.133,0.0589,0.00894,0.125,0.0010400000000000001,3.44,,,6.9,6.9,1.0,0.0249,0.08,0.6,0.05,0.0438,0.0433,4.19,0.31124999999999997,7.07e-05,1.67e+19,
109.0,1.01e+20,0.34,3.0,8.823529411764705,2.4,0.644,0.07379999999999999,1.68,0.644,0.202,0.119,0.07640000000000001,0.228,0.00177,2.71,,,1.9,1.9,1.0,0.0131,0.08,0.6,0.05,0.0438,0.0112,4.7,0.16375,0.0015,2.16e+18,
198.0,5.6e+19,0.34,3.0,8.823529411764705,0.526,0.359,0.0391,0.128,0.359,0.145,0.0615,0.00753,0.132,0.0011200000000000001,3.67,,,8.1,8.1,1.0,0.027,0.08,0.6,0.05,0.0438,0.047700000000000006,4.13,0.33749999999999997,5.19e-05,2.16e+19,
187.0,1.01e+20,0.34,3.0,8.823529411764705,1.7,1.09,0.121,0.485,1.09,0.432,0.19,0.027800000000000002,0.403,0.00342,4.67,,,7.1,7.1,1.0,0.0253,0.08,0.6,0.05,0.0438,0.0248,4.18,0.31625,0.000119,1.78e+19,
152.0,1.01e+20,0.34,3.0,8.823529411764705,1.86,0.894,0.103,0.861,0.894,0.324,0.164,0.0451,0.333,0.00266,3.8,,,4.3,4.3,1.0,0.0197,0.08,0.6,0.05,0.0438,0.0183,4.37,0.24624999999999997,0.000312,7.95e+18,
183.0,4.1e+19,0.34,3.0,8.823529411764705,0.288,0.18,0.02,0.0878,0.18,0.0705,0.0316,0.00498,0.06659999999999999,0.000547,2.9,,,6.7,6.7,1.0,0.0246,0.08,0.6,0.05,0.0438,0.0576,4.2,0.3075,5.52e-05,1.58e+19,
86.8,3.6e+19,0.34,3.0,8.823529411764705,0.338,0.067,0.00758,0.263,0.067,0.0192,0.0124,0.0109,0.0228,0.000171,1.29,,,1.1,1.1,1.0,0.00995,0.08,0.6,0.05,0.0438,0.0223,4.91,0.124375,0.00157,8.82e+17,
200.0,3.1e+19,0.34,3.0,8.823529411764705,0.164,0.113,0.012199999999999999,0.038700000000000005,0.113,0.0458,0.0192,0.00228,0.041299999999999996,0.000348,2.76,,,8.3,8.3,1.0,0.0273,0.08,0.6,0.05,0.0438,0.0861,4.12,0.34125,2.78e-05,2.22e+19,
169.0,4.1e+19,0.34,3.0,8.823529411764705,0.296,0.166,0.0188,0.111,0.166,0.0629,0.0298,0.00607,0.062,0.000496,2.68,,,5.5,5.5,1.0,0.0222,0.08,0.6,0.05,0.0438,0.0511,4.27,0.2775,8.07e-05,1.15e+19,
147.0,3.6e+19,0.34,3.0,8.823529411764705,0.25,0.112,0.0129,0.124,0.112,0.0399,0.0206,0.0064,0.0417,0.000322,2.18,,,3.9,3.9,1.0,0.0187,0.08,0.6,0.05,0.0438,0.0471,4.41,0.23375,0.000138,6.62e+18,
209.0,3.6e+19,0.34,3.0,8.823529411764705,0.22,0.158,0.0169,0.0448,0.158,0.06570000000000001,0.026600000000000002,0.00269,0.0575,0.000497,3.11,,,9.3,9.3,1.0,0.0289,0.08,0.6,0.05,0.0438,0.0798,4.08,0.36124999999999996,2.58e-05,2.67e+19,
181.0,3.6e+19,0.34,3.0,8.823529411764705,0.223,0.137,0.015300000000000001,0.0704,0.137,0.0536,0.0242,0.0039700000000000004,0.051,0.000415,2.69,,,6.5,6.5,1.0,0.0242,0.08,0.6,0.05,0.0438,0.06420000000000001,4.21,0.3025,5.15e-05,1.5e+19,
98.8,1.6e+19,0.34,3.0,8.823529411764705,0.0668,0.0154,0.00175,0.0496,0.0154,0.00464,0.00285,0.00216,0.00536,3.9399999999999995e-05,0.98,,,1.5,1.5,1.0,0.0116,0.08,0.6,0.05,0.0438,0.0586,4.79,0.145,0.000392,1.41e+18,
178.0,6.1e+19,0.34,3.0,8.823529411764705,0.635,0.385,0.043,0.207,0.385,0.149,0.068,0.0116,0.143,0.00117,3.45,,,6.3,6.3,1.0,0.0238,0.08,0.6,0.05,0.0438,0.037700000000000004,4.22,0.29750000000000004,9.15e-05,1.45e+19,
164.0,6.1e+19,0.34,3.0,8.823529411764705,0.658,0.354,0.0402,0.265,0.354,0.132,0.0639,0.0143,0.132,0.00106,3.17,,,5.1,5.1,1.0,0.0214,0.08,0.6,0.05,0.0438,0.0332,4.3,0.26749999999999996,0.000137,1.03e+19,
204.0,1.1e+19,0.34,3.0,8.823529411764705,0.0211,0.0148,0.0016,0.004690000000000001,0.0148,0.00607,0.0025099999999999996,0.000278,0.00541,4.5e-05,1.68,,,8.7,8.7,1.0,0.028,0.08,0.6,0.05,0.0438,0.244,4.1,0.35,9.23e-06,2.33e+19,
147.0,6.1e+19,0.34,3.0,8.823529411764705,0.707,0.318,0.0366,0.352,0.318,0.113,0.0584,0.0181,0.118,0.000924,2.84,,,3.9,3.9,1.0,0.0187,0.08,0.6,0.05,0.0438,0.0282,4.41,0.23375,0.00023,6.71e+18,
206.0,1.6e+19,0.34,3.0,8.823529411764705,0.0443,0.0313,0.00337,0.009550000000000001,0.0313,0.0129,0.00529,0.000569,0.0114,9.609999999999999e-05,2.04,,,8.9,8.9,1.0,0.0283,0.08,0.6,0.05,0.0438,0.171,4.1,0.35374999999999995,1.27e-05,2.44e+19,
176.0,1.6e+19,0.34,3.0,8.823529411764705,0.0453,0.027,0.0030299999999999997,0.015300000000000001,0.027,0.0104,0.00479,0.000854,0.01,7.95e-05,1.75,,,6.1,6.1,1.0,0.0234,0.08,0.6,0.05,0.0438,0.136,4.24,0.2925,2.64e-05,1.33e+19,
137.0,8.1e+19,0.34,3.0,8.823529411764705,1.3,0.52,0.060200000000000004,0.723,0.52,0.18,0.0963,0.0362,0.192,0.0015,3.05,,,3.3,3.3,1.0,0.0172,0.08,0.6,0.05,0.0438,0.019399999999999997,4.47,0.215,0.000419,5.17e+18,
61.8,8.1e+19,0.34,3.0,8.823529411764705,1.36,0.233,0.0277,1.1,0.233,0.0597,0.0458,0.040799999999999996,0.08070000000000001,0.000583,1.38,,,0.5,0.5,1.0,0.00671,0.08,0.6,0.05,0.0438,0.00656,5.19,0.08387499999999999,0.0155,2.66e+17,
130.0,8.1e+19,0.34,3.0,8.823529411764705,1.36,0.494,0.0572,0.81,0.494,0.167,0.0917,0.0396,0.181,0.0014,2.89,,,2.9,2.9,1.0,0.0162,0.08,0.6,0.05,0.0438,0.0179,4.52,0.20249999999999999,0.000537,4.21e+18,
217.0,7.6e+19,0.34,3.0,8.823529411764705,0.967,0.715,0.0756,0.176,0.715,0.302,0.119,0.0108,0.258,0.00231,4.68,,,10.1,10.1,1.0,0.0301,0.08,0.6,0.05,0.0438,0.0405,4.05,0.37625,4.57e-05,3.1e+19,
171.0,8.1e+19,0.34,3.0,8.823529411764705,1.13,0.647,0.073,0.408,0.647,0.246,0.116,0.0225,0.241,0.00197,3.82,,,5.7,5.7,1.0,0.0226,0.08,0.6,0.05,0.0438,0.0269,4.26,0.2825,0.000146,1.24e+19,
209.0,1.6e+19,0.34,3.0,8.823529411764705,0.0443,0.0319,0.0034100000000000003,0.00903,0.0319,0.0132,0.00535,0.000542,0.0116,9.829999999999999e-05,2.08,,,9.3,9.3,1.0,0.0289,0.08,0.6,0.05,0.0438,0.176,4.08,0.36124999999999996,1.17e-05,2.62e+19,
181.0,1.6e+19,0.34,3.0,8.823529411764705,0.045,0.0277,0.00309,0.014199999999999999,0.0277,0.0108,0.00488,0.0008,0.0103,8.209999999999999e-05,1.79,,,6.5,6.5,1.0,0.0242,0.08,0.6,0.05,0.0438,0.142,4.21,0.3025,2.33e-05,1.47e+19,
147.0,1.6e+19,0.34,3.0,8.823529411764705,0.0503,0.022600000000000002,0.00261,0.0251,0.022600000000000002,0.00805,0.0041600000000000005,0.0012900000000000001,0.00842,6.36e-05,1.45,,,3.9,3.9,1.0,0.0187,0.08,0.6,0.05,0.0438,0.104,4.41,0.23375,6.25e-05,6.48e+18,
183.0,6.1e+19,0.34,3.0,8.823529411764705,0.63,0.394,0.0438,0.192,0.394,0.154,0.0692,0.0109,0.146,0.00121,3.54,,,6.7,6.7,1.0,0.0246,0.08,0.6,0.05,0.0438,0.0391,4.2,0.3075,8.13e-05,1.6e+19,
86.8,1.6e+19,0.34,3.0,8.823529411764705,0.0683,0.0135,0.0015300000000000001,0.053200000000000004,0.0135,0.0038799999999999998,0.0025,0.0022,0.00461,3.3799999999999995e-05,0.86,,,1.1,1.1,1.0,0.00995,0.08,0.6,0.05,0.0438,0.049,4.91,0.124375,0.000712,8.62e+17,
200.0,1.1e+19,0.34,3.0,8.823529411764705,0.0211,0.0145,0.00158,0.0049900000000000005,0.0145,0.00591,0.00248,0.000294,0.00533,4.3899999999999996e-05,1.64,,,8.3,8.3,1.0,0.0273,0.08,0.6,0.05,0.0438,0.237,4.12,0.34125,1.01e-05,2.16e+19,
169.0,6.1e+19,0.34,3.0,8.823529411764705,0.649,0.364,0.0412,0.243,0.364,0.138,0.0654,0.013300000000000001,0.136,0.0011,3.27,,,5.5,5.5,1.0,0.0222,0.08,0.6,0.05,0.0438,0.0347,4.27,0.2775,0.000119,1.16e+19,
206.0,3.6e+19,0.34,3.0,8.823529411764705,0.22,0.156,0.0167,0.0474,0.155,0.06409999999999999,0.0263,0.00283,0.0567,0.000486,3.06,,,8.9,8.9,1.0,0.0283,0.08,0.6,0.05,0.0438,0.0777,4.1,0.35374999999999995,2.81e-05,2.49e+19,
176.0,3.6e+19,0.34,3.0,8.823529411764705,0.225,0.134,0.015,0.076,0.134,0.0516,0.0238,0.00424,0.0498,0.000402,2.62,,,6.1,6.1,1.0,0.0234,0.08,0.6,0.05,0.0438,0.061799999999999994,4.23,0.2925,5.82e-05,1.36e+19,
147.0,4.1e+19,0.34,3.0,8.823529411764705,0.323,0.145,0.0167,0.161,0.145,0.0516,0.026699999999999998,0.00828,0.054,0.000417,2.33,,,3.9,3.9,1.0,0.0187,0.08,0.6,0.05,0.0438,0.0415,4.41,0.23375,0.000156,6.64e+18,
98.8,3.6e+19,0.34,3.0,8.823529411764705,0.331,0.07629999999999999,0.00868,0.246,0.07640000000000001,0.023,0.0141,0.0107,0.0265,0.0002,1.47,,,1.5,1.5,1.0,0.0116,0.08,0.6,0.05,0.0438,0.026600000000000002,4.79,0.145,0.000864,1.44e+18,
178.0,4.1e+19,0.34,3.0,8.823529411764705,0.29,0.175,0.019600000000000003,0.09459999999999999,0.175,0.068,0.031,0.0053,0.06520000000000001,0.000531,2.83,,,6.3,6.3,1.0,0.0238,0.08,0.6,0.05,0.0438,0.0555,4.22,0.29750000000000004,6.21e-05,1.43e+19,
